"","x"
"TCGA-AA-3841",1.5
"TCGA-AA-3815",20.3421052631579
"TCGA-DM-A1DA",6
"TCGA-EI-6510",2.31578947368421
"TCGA-CI-6619",1.21052631578947
"TCGA-HF-7132",28.2368421052632
"TCGA-HU-8610",1.28947368421053
"TCGA-CM-6170",1.84210526315789
"TCGA-QG-A5YW",3
"TCGA-D5-6535",3.52631578947368
"TCGA-CA-6715",1.65789473684211
"TCGA-A6-A5ZU",1.78947368421053
"TCGA-AA-3685",1.81578947368421
"TCGA-A6-5666",1.97368421052632
"TCGA-G4-6309",19.2631578947368
"TCGA-CM-5864",3.94736842105263
"TCGA-D5-6920",2.39473684210526
"TCGA-D7-A6EX",2.5
"TCGA-CM-4743",27.7894736842105
"TCGA-RD-A7BS",0.815789473684211
"TCGA-FP-8211",2.42105263157895
"TCGA-IN-8462",2.55263157894737
"TCGA-CL-5918",2.52631578947368
"TCGA-F5-6861",1.89473684210526
"TCGA-AA-A01I",2.34210526315789
"TCGA-IN-A7NR",1.52631578947368
"TCGA-D7-6520",1.18421052631579
"TCGA-CK-4948",2.23684210526316
"TCGA-F4-6856",23.3157894736842
"TCGA-F1-A448",11.1578947368421
"TCGA-CI-6620",1.05263157894737
"TCGA-IN-A6RR",2.84210526315789
"TCGA-BR-8364",0.342105263157895
"TCGA-BR-4294",0.631578947368421
"TCGA-AA-3681",2.5
"TCGA-VQ-A8P2",150.631578947368
"TCGA-CD-A4MJ",15.8947368421053
"TCGA-CD-5801",8.47368421052632
"TCGA-AG-A015",2.42105263157895
"TCGA-D5-6531",3.97368421052632
"TCGA-BR-4369",3.5
"TCGA-VQ-A8DV",1.52631578947368
"TCGA-DM-A285",3.42105263157895
"TCGA-AA-3845",44.9473684210526
"TCGA-AA-3811",73.0789473684211
"TCGA-CM-4746",17.3947368421053
"TCGA-AA-3952",1.86842105263158
"TCGA-HU-A4GX",29.1578947368421
"TCGA-FP-8099",2.71052631578947
"TCGA-AA-3522",0.473684210526316
"TCGA-CM-6678",2.76315789473684
"TCGA-IN-A6RN",2.10526315789474
"TCGA-BR-A4QL",42
"TCGA-EI-6506",2.76315789473684
"TCGA-A6-2684",4.26315789473684
"TCGA-A6-6138",2.15789473684211
"TCGA-CG-4301",1.05263157894737
"TCGA-AG-4015",1.94736842105263
"TCGA-AA-A02O",3.65789473684211
"TCGA-BR-7707",28.7894736842105
"TCGA-VQ-A91S",5.28947368421053
"TCGA-CM-4752",2.60526315789474
"TCGA-AG-3574",0.210526315789474
"TCGA-VQ-A8PJ",3.31578947368421
"TCGA-G4-6626",2.63157894736842
"TCGA-CG-4441",2.23684210526316
"TCGA-HU-8244",2.34210526315789
"TCGA-AF-2692",0.263157894736842
"TCGA-AG-4022",1.84210526315789
"TCGA-VQ-A8PY",1.55263157894737
"TCGA-AD-6963",1.44736842105263
"TCGA-AA-3664",3.18421052631579
"TCGA-CD-8526",1.07894736842105
"TCGA-G4-6323",1.65789473684211
"TCGA-BR-8286",2.73684210526316
"TCGA-VQ-A91E",17.7105263157895
"TCGA-BR-A4J8",1.55263157894737
"TCGA-BR-8381",2.23684210526316
"TCGA-A6-6651",1.78947368421053
"TCGA-VQ-AA6G",2.71052631578947
"TCGA-CD-8528",2.02631578947368
"TCGA-AA-3511",2.39473684210526
"TCGA-CM-5341",3.34210526315789
"TCGA-AA-3870",2.57894736842105
"TCGA-BR-A4J6",0.684210526315789
"TCGA-AZ-6600",2.92105263157895
"TCGA-VQ-AA6F",1.05263157894737
"TCGA-AA-3939",2.60526315789474
"TCGA-G4-6628",45.4736842105263
"TCGA-AG-A01N",2.26315789473684
"TCGA-D7-8578",1.15789473684211
"TCGA-AZ-4313",26.2105263157895
"TCGA-D7-8573",1.63157894736842
"TCGA-CK-4952",3.05263157894737
"TCGA-CG-4305",28.5789473684211
"TCGA-3M-AB47",2.42105263157895
"TCGA-D7-6820",1.55263157894737
"TCGA-EF-5830",1.21052631578947
"TCGA-CD-8530",1.52631578947368
"TCGA-AZ-4616",1.89473684210526
"TCGA-CD-5799",0.684210526315789
"TCGA-CM-6676",1.97368421052632
"TCGA-HU-8608",1.89473684210526
"TCGA-DM-A1D7",2.76315789473684
"TCGA-BR-8484",1.57894736842105
"TCGA-BR-4357",4.84210526315789
"TCGA-EI-6508",2.31578947368421
"TCGA-VQ-A924",31.9473684210526
"TCGA-VQ-A8PD",1.31578947368421
"TCGA-CG-5734",1.55263157894737
"TCGA-G4-6314",2.97368421052632
"TCGA-AA-3715",52.5
"TCGA-AA-3833",14.6315789473684
"TCGA-EI-6885",2.05263157894737
"TCGA-D5-6922",2.15789473684211
"TCGA-VQ-A8E3",17.1578947368421
"TCGA-BR-A453",0.894736842105263
"TCGA-F4-6460",2.94736842105263
"TCGA-DM-A28C",2.23684210526316
"TCGA-RD-A8NB",13.1052631578947
"TCGA-BR-8077",2.36842105263158
"TCGA-BR-6456",0.921052631578947
"TCGA-CM-6166",1.68421052631579
"TCGA-VQ-A8PH",4.31578947368421
"TCGA-AG-3892",118.526315789474
"TCGA-VQ-AA6I",2.15789473684211
"TCGA-VQ-A8PK",1.97368421052632
"TCGA-IN-A6RL",9.26315789473684
"TCGA-F4-6808",2.71052631578947
"TCGA-EI-6512",2.52631578947368
"TCGA-BR-8295",1.13157894736842
"TCGA-IN-A7NT",2.31578947368421
"TCGA-AG-A036",3.55263157894737
"TCGA-SS-A7HO",3.42105263157895
"TCGA-CM-6172",1.84210526315789
"TCGA-BR-4280",16.9473684210526
"TCGA-CG-5717",1.86842105263158
"TCGA-BR-8291",0.605263157894737
"TCGA-CA-5254",4.31578947368421
"TCGA-VQ-AA68",3.78947368421053
"TCGA-D5-6539",2.07894736842105
"TCGA-DM-A0XD",3.28947368421053
"TCGA-D7-A4YT",6
"TCGA-BR-4361",54
"TCGA-D7-5578",4.57894736842105
"TCGA-FP-8631",1.94736842105263
"TCGA-AA-3877",25.4473684210526
"TCGA-AA-3819",3.86842105263158
"TCGA-AA-3675",1.84210526315789
"TCGA-AZ-6607",1.47368421052632
"TCGA-AD-6548",2.47368421052632
"TCGA-F4-6806",2.10526315789474
"TCGA-ZA-A8F6",1.02631578947368
"TCGA-AA-3950",25.4210526315789
"TCGA-BR-6453",3.81578947368421
"TCGA-BR-6709",0.710526315789474
